carbon_emissions_total,discomfort_proportion,ramping_average,daily_one_minus_load_factor_average,daily_peak_average,annual_peak_average,one_minus_thermal_resilience_proportion,power_outage_normalized_unserved_energy_total,average_score
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.318572279903938}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8432724125702503}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7246530891110714}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0960096411373204}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3288749441280352}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1529700398573692}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8603174603174604}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7488182685836199}","{'display_name': 'Score', 'weight': None, 'value': 1.0988973}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3564545330969164}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8430685605179908}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8924529731876487}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0456531223643815}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.2743667097636553}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0027205122485692}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7746031746031745}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6849057599239381}","{'display_name': 'Score', 'weight': None, 'value': 1.0736318}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3496149676854587}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8324215181341431}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7350148779342587}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.1085986251248785}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4310235529337878}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.16392384555324}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8396825396825397}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7141776765539807}","{'display_name': 'Score', 'weight': None, 'value': 1.1006591}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3434128118479993}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8290493871521539}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.711625015996596}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0845775633402808}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3615176224814178}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3730397985370209}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8380952380952381}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.711380043998583}","{'display_name': 'Score', 'weight': None, 'value': 1.1052845}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3653789633457627}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8282963323070275}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.852296782744582}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0963181312977013}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4118418868431224}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.550458010650191}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8396825396825397}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6307202784036946}","{'display_name': 'Score', 'weight': None, 'value': 1.1239059}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3757537164266738}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.867401403009401}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7419209582351796}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0482105379877908}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3423187232093092}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.176770238461811}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7968253968253968}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.728952280791822}","{'display_name': 'Score', 'weight': None, 'value': 1.099854}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3823979235414192}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8621348335717087}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.923743465252151}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.091002782930523}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4408426092618483}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.1869247093538882}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8190476190476191}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6770487378284419}","{'display_name': 'Score', 'weight': None, 'value': 1.1194832}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.406667265327277}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8547635151796974}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.908205907885396}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0330048175250073}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.342266195050608}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.354335521769779}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8174603174603176}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7212108895221734}","{'display_name': 'Score', 'weight': None, 'value': 1.1257324}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4478932955569963}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8630091897820332}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8741043213600257}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0579933472264773}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4274016703590158}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2166438779106117}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7746031746031745}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.692934203941392}","{'display_name': 'Score', 'weight': None, 'value': 1.1170335}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4468366813090576}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8744344162386479}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.907338961134874}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0485083789284626}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3741744668964406}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2696306766347827}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8634920634920634}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7024625555069467}","{'display_name': 'Score', 'weight': None, 'value': 1.1368811}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3842365903550522}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8498442927296682}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9023553219424607}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0883080444512085}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4735371508345734}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.5135540634267375}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7952380952380952}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7671938901027205}","{'display_name': 'Score', 'weight': None, 'value': 1.1510733}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.3751430758896994}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8704987564555107}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.764911741651697}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0476728322979125}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3394094902394318}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 0.9808003411333448}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7746031746031745}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7469434140306935}","{'display_name': 'Score', 'weight': None, 'value': 1.0868554}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4399409655769428}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.868893186691373}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.6613690828905554}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0506591599214314}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4082883565566777}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.5153916426512684}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7698412698412699}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6732782036671509}","{'display_name': 'Score', 'weight': None, 'value': 1.118808}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4698548790633463}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8841514423472109}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.869401517806408}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.034672140607631}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.434669897258192}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3716415454009385}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8634920634920635}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7402253742424775}","{'display_name': 'Score', 'weight': None, 'value': 1.1560674}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4544445677511197}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8619072614073776}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8212342790490053}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.031700103116227}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3746128396961304}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0765301473805091}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8873015873015874}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6954553437510618}","{'display_name': 'Score', 'weight': None, 'value': 1.114236}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4528620165935917}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8543767129561131}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9927460424153938}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0996001656597083}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5218964355950926}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.301026899535274}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.815873015873016}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6938050981830474}","{'display_name': 'Score', 'weight': None, 'value': 1.1466961}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5027128426557772}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.867571788566906}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.67793803786474}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.019881553122049}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4419512569033297}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.29606850316428}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8190476190476191}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7345826454188935}","{'display_name': 'Score', 'weight': None, 'value': 1.1262753}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4676685576950514}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.863122975864199}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.788450286803407}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0505256135699679}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4474288043706796}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3477173864679624}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.834920634920635}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.747495619387228}","{'display_name': 'Score', 'weight': None, 'value': 1.1406252}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5091181436725296}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8726725520726916}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7016365226876444}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0073786794264006}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.404916773946863}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.115695523550939}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8174603174603176}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7619524700650341}","{'display_name': 'Score', 'weight': None, 'value': 1.1168475}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5357564114242332}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8717742408977006}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9918995125836156}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0459953668818962}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5069215501040567}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2968931360798683}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8873015873015874}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7415964926054963}","{'display_name': 'Score', 'weight': None, 'value': 1.1725708}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4856942274268083}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8565064737117748}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.8580998857844575}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0242044662453063}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.429052990719315}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3206340922407358}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8428571428571429}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6426338421820339}","{'display_name': 'Score', 'weight': None, 'value': 1.1257443}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5349509450260086}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8834204636459927}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.801704855375348}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.04395065547457}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5091911596637533}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3700376329546373}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8412698412698413}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7624585953025537}","{'display_name': 'Score', 'weight': None, 'value': 1.1634469}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5549987956556353}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.887398984027675}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9221195332844907}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.040976552011875}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.536451519199218}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.3243291689138}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.9063492063492063}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6299603309807745}","{'display_name': 'Score', 'weight': None, 'value': 1.1639568}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5611338862023716}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8875410698475102}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 3.0882171879820715}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0257768545168304}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5185270846226921}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.41673627867512}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8428571428571429}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7053976580778812}","{'display_name': 'Score', 'weight': None, 'value': 1.1833082}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5629596457587063}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8622546083950408}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7721813316626545}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.019148191167084}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4987826728294709}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.502435368276652}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7730158730158729}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7366381548387251}","{'display_name': 'Score', 'weight': None, 'value': 1.1508615}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5156325758356228}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.875727397199148}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9685457728504825}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.062099902990655}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.5285470431840527}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.215275205621027}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.815873015873016}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7018110191841765}","{'display_name': 'Score', 'weight': None, 'value': 1.1500192}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.4582503163761504}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8750359911601483}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.919232952477574}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0506282334020582}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4444973394678675}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4641863378507372}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8412698412698413}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7803556045438462}","{'display_name': 'Score', 'weight': None, 'value': 1.1674705}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.559400280064975}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8768342574782938}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.9602562980194183}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.009094398898429}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4452058615101255}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2012573716964188}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7968253968253968}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7247341484839475}","{'display_name': 'Score', 'weight': None, 'value': 1.1434103}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5441919426240451}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.895756800744013}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.673570180911366}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0223723009658172}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4703053808749909}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.2661673665611244}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8634920634920634}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7477881065889208}","{'display_name': 'Score', 'weight': None, 'value': 1.1472695}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.570955363357825}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8894149587011713}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.784479253767454}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 0.9822828152181157}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.3967339994305816}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.052526691822172}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.9095238095238095}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6703102418157924}","{'display_name': 'Score', 'weight': None, 'value': 1.1270969}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.589270153862979}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8715028687244452}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.7954682705048164}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0183118974530005}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4948415684198388}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4545203323583187}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.8190476190476191}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.6736405468564418}","{'display_name': 'Score', 'weight': None, 'value': 1.1515167}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5254205166530748}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8701089011481944}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.75535470124122}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0058570762836767}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.424940590339258}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.0785219816768026}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7952380952380952}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7639887591392888}","{'display_name': 'Score', 'weight': None, 'value': 1.1173093}"
"{'display_name': 'Carbon emissions', 'weight': 0.1, 'value': 1.5313271076191188}","{'display_name': 'Unmet hours', 'weight': 0.3, 'value': 0.8803153600642557}","{'display_name': 'Ramping', 'weight': 0.075, 'value': 2.734321112151071}","{'display_name': 'Load factor', 'weight': 0.075, 'value': 1.0268284051839751}","{'display_name': 'Daily peak', 'weight': 0.075, 'value': 1.4661637573498265}","{'display_name': 'All-time peak', 'weight': 0.075, 'value': 1.4289521075523928}","{'display_name': 'Thermal resilience', 'weight': 0.15, 'value': 0.7730158730158729}","{'display_name': 'Unserved energy', 'weight': 0.15, 'value': 0.7282807855505572}","{'display_name': 'Score', 'weight': None, 'value': 1.1416417}"
